n    Max Error (Equidistant)    Max Error (Chebyshev)
 3   1.840772     1.155706
 4   0.687498     0.287765
 5   0.384889     0.134821
 6   0.201763     0.052705
 7   0.136724     0.018265
 8   0.091993     0.004957
 9   0.057946     0.000754
10   0.035974     0.000911
11   0.022505     0.001237
12   0.014332     0.001287
13   0.009338     0.001285
14   0.006235     0.001289
15   0.004265     0.001314
16   0.002985     0.001368
17   0.002133     0.001454
18   0.001554     0.001579
19   0.001150     0.001752
20   0.000865     0.001984
21   0.000659     0.002290
22   0.000507     0.002692
23   0.000395     0.003217
24   0.000311     0.003905
25   0.000246     0.004808
26   0.000197     0.005999
27   0.000158     0.007577
28   0.000128     0.009680
29   0.000104     0.012498
30   0.000085     0.016296
