n    Max Error (Equidistant)    Max Error (Chebyshev)
 3   1.856753     2.243363
 4   16.008856     6.395725
 5   39.404753     13.685603
 6   137.812116     21.906530
 7   409.693923     70.131645
 8   1340.819344     220.448006
 9   5185.389147     714.645720
10   22556.389494     2428.165173
11   108837.918044     8382.784645
12   579313.856969     25946.523318
13   3388424.637030     28318.756901
14   21703934.891436     772886.420720
15   151639210.246871     13870460.845306
16   1150472057.991513     190272139.835507
17   9433928051.424040     2513853959.290355
18   83221245304.995285     33985891518.885212
19   786259402643.817383     480960791479.187622
20   7922964474947.457031     7191110447092.434570
21   84830552828716.500000     113977976847678.828125
22   961754524120225.875000     1916037413232739.500000
23   11509883332837300.000000     34130079580460296.000000
24   144993752103302880.000000     643135204726966016.000000
25   1917748832679882240.000000     12794969440153628672.000000
26   26570064115860324352.000000     268188452742646726656.000000
27   384800879419018575872.000000     5910148288510631608320.000000
28   5814136858702720794624.000000     136658288565352226881536.000000
29   91489871999241115664384.000000     3309145319324406444457984.000000
30   1496903457153634216706048.000000     83762080043429798051053568.000000
